id,title,listingType,propertyType,subType,price,bedrooms,bathrooms,carPark,builtUpSqft,landSqft,tenure,furnishing,status,featured,isNew,address,area,city,state,postedDate,description,coverImage,image2,image3,image4,image5,image6,image7,image8,image9,image10
rent-001,"Placeholder Rent Property #001",rent,residential,Condo,1220,3,2,2,810,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #001. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-002,"Placeholder Rent Property #002",rent,residential,Condo,1240,4,1,1,820,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #002. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-003,"Placeholder Rent Property #003",rent,residential,Condo,1260,2,2,2,830,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #003. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-004,"Placeholder Rent Property #004",rent,residential,Condo,1280,3,1,1,840,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #004. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-005,"Placeholder Rent Property #005",rent,residential,Condo,1300,4,2,2,850,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #005. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-006,"Placeholder Rent Property #006",rent,residential,Condo,1320,2,1,1,860,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #006. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-007,"Placeholder Rent Property #007",rent,residential,Condo,1340,3,2,2,870,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #007. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-008,"Placeholder Rent Property #008",rent,residential,Condo,1360,4,1,1,880,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #008. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-009,"Placeholder Rent Property #009",rent,residential,Condo,1380,2,2,2,890,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #009. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-010,"Placeholder Rent Property #010",rent,residential,Condo,1400,3,1,1,900,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #010. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-011,"Placeholder Rent Property #011",rent,residential,Condo,1420,4,2,2,910,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #011. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-012,"Placeholder Rent Property #012",rent,residential,Condo,1440,2,1,1,920,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #012. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-013,"Placeholder Rent Property #013",rent,residential,Condo,1460,3,2,2,930,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #013. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-014,"Placeholder Rent Property #014",rent,residential,Condo,1480,4,1,1,940,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #014. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-015,"Placeholder Rent Property #015",rent,residential,Condo,1500,2,2,2,950,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #015. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-016,"Placeholder Rent Property #016",rent,residential,Condo,1520,3,1,1,960,,Freehold,Partially Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #016. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
rent-017,"Placeholder Rent Property #017",rent,residential,Condo,1540,4,2,2,970,,Freehold,Fully Furnished,available,FALSE,TRUE,"Jalan Austin Heights 8/x, Taman Mount Austin, 81100 Johor Bahru, Johor",Mount Austin,Johor Bahru,Johor,2026-07-05,"This is a placeholder description for rent listing #017. Details will be updated by the agent later.",/photos/prop-001/cover.jpg,/photos/prop-001/photo_2@17-06-2026_16-40-49.jpg,,,,,,,,
